id,name,emoji,description,funFact,step1,step2,step3
sandwich,Sandwich Making,🥪,Stack layers to make lunch,The sandwich was invented by the Earl of Sandwich!,Choose your bread,Add filling and veggies,Put the top slice on!
baking,Cake Baking,🎂,Bake delicious cakes,The biggest cake ever weighed 15000 pounds!,Mix the batter,Pour into a pan,Bake and decorate!
cupcake,Cupcake Decorating,🧁,Decorate cupcakes beautifully,Cupcakes were invented in the 1800s!,Bake the cupcakes,Add colorful frosting,Top with sprinkles!
pizza,Pizza Making,🍕,Create your own pizza,Pizza was first made in Naples Italy!,Roll the dough,Spread the sauce,Add cheese and toppings!
burger,Burger Building,🍔,Build the perfect burger,Americans eat 50 billion burgers per year!,Toast the bun,Add the patty,Stack veggies and sauce!
juice,Juice Making,🧃,Squeeze fresh fruit juice,Fresh juice has more vitamins than store juice!,Pick ripe fruits,Cut them in half,Squeeze or blend!
vegwash,Washing Vegetables,🥬,Clean veggies properly,Washing removes dirt and keeps us healthy!,Fill bowl with water,Gently scrub veggies,Rinse and dry!
mixing,Mixing Ingredients,🥣,Stir ingredients together,Mixing helps flavors blend together!,Add ingredients to bowl,Stir round and round,Mix until smooth!
safety,Kitchen Safety,🧯,Learn to be safe in the kitchen,Always ask an adult before using the stove!,Wash hands first,Use oven mitts,Clean up spills quickly!
recipe,Following Recipes,📖,Read and follow recipes,The oldest recipe is over 4000 years old!,Read the whole recipe,Gather all ingredients,Follow step by step!
salad,Salad Making,🥗,Mix fresh veggies together,Eating colorful veggies is great for health!,Wash the veggies,Tear the lettuce,Add dressing!
smoothie,Smoothie Making,🥤,Blend fruits into a drink,Smoothies are a delicious way to eat fruits!,Pick your fruits,Add milk or yogurt,Blend it smooth!
cookie,Cookie Baking,🍪,Bake crunchy sweet cookies,Americans eat over 2 billion cookies a year!,Mix butter and sugar,Add flour and chips,Scoop and bake!
pancake,Pancake Flipping,🥞,Make fluffy round pancakes,Pancakes have been made for over 30000 years!,Mix the batter,Pour on griddle,Flip when bubbly!
