id,name,emoji,description,funFact,step1,step2,step3
volcano,Volcano Experiment,🌋,Make a volcano erupt,Real lava is over 2000 degrees!,Build volcano shape,Add baking soda,Pour vinegar!
fossil,Fossil Digging,🦕,Discover fossils,Oldest fossils are 3.5 billion years old!,Brush away dirt,Be very gentle,Identify the fossil!
microscope,Microscope Explorer,🔬,See tiny things big,Microscopes magnify 2000 times!,Place item on slide,Look through lens,Adjust focus!
weather,Weather Station,🌤️,Track the weather,Lightning strikes 100 times per second!,Check thermometer,Look at clouds,Record data!
planets,Solar System,🪐,Explore planets,1300 Earths fit inside Jupiter!,Learn planet order,Study each planet,Make a model!
static,Static Electricity,⚡,Create static charge,Lightning is giant static electricity!,Rub balloon on hair,Hold near paper bits,Watch them jump!
telescope,Star Gazing,🔭,Look at stars,You can see 5000 stars with your eyes!,Go outside at night,Look at the sky,Find constellations!
chemistry,Simple Chemistry,🧪,Mix safe chemicals,Everything is made of chemicals!,Measure carefully,Mix ingredients,Observe reaction!
magnets,Magnet Science,🧲,Explore magnets,The Earth is a giant magnet!,Get two magnets,Try to connect them,Find magnetic items!
plants,Plant Science,🌱,Study how plants grow,Plants make their own food!,Plant a seed,Water daily,Watch it grow!
