id,name,emoji,description,funFact,step1,step2,step3
dressup,Dress Up,👗,Choose and match outfits,Fashion designers sketch 100 designs before picking one!,Pick a top,Choose matching bottom,Add accessories!
hairstyle,Hair Styling,💇,Create beautiful hairstyles,Hair grows about 6 inches per year!,Brush your hair,Choose a style,Add clips or bands!
facepainting,Face Painting,🎭,Paint fun designs on faces,Face painting has been done for thousands of years!,Pick a design,Apply base color,Add details and sparkles!
nailart,Nail Art,💅,Create colorful nail designs,Nail polish was invented in China 3000 BC!,Apply base coat,Paint a color,Add fun designs!
accessory,Accessory Matching,👜,Pick the perfect accessories,Sunglasses were invented in China!,Look at your outfit,Choose matching items,Add hat or bag!
colorcoord,Color Coordination,🎨,Learn which colors go together,Opposite colors on the color wheel look great together!,Learn warm colors,Learn cool colors,Mix and match!
fashiondesign,Fashion Design,✏️,Design your own clothes,Fashion week happens 4 times a year!,Sketch your design,Choose colors,Add details!
jewelry,Jewelry Making,📿,Create necklaces and bracelets,Beads were the first jewelry 75000 years ago!,Choose your beads,Thread the string,Tie a knot!
braiding,Braiding,👧,Weave beautiful braids,Braiding is one of the oldest hairstyles!,Divide hair into 3 parts,Cross right over middle,Repeat pattern!
sewing,Basic Sewing,🧵,Stitch fabric together,The sewing needle is one of the oldest tools!,Thread the needle,Push through fabric,Pull and repeat!
