id,name,emoji,description,funFact,step1,step2,step3
heartbeat,Check Heartbeat,💓,Listen to the heart,Your heart beats 100000 times a day!,Place stethoscope,Listen quietly,Count the beats!
bandage,Apply Bandage,🩹,Wrap injuries safely,Band-aids were invented in 1920!,Clean the wound,Apply bandage,Secure gently!
temperature,Check Temperature,🌡️,Take body temperature,Normal temperature is 98.6°F!,Get thermometer,Place under tongue,Read the number!
dental,Dental Care,🦷,Learn about teeth care,You have 32 adult teeth!,Brush twice daily,Floss between teeth,Visit dentist!
eyecheck,Eye Check-up,👁️,Test your vision,Your eyes can see 10 million colors!,Cover one eye,Read the letters,Test both eyes!
healthy,Healthy Habits,💪,Learn to stay healthy,Kids need 9-12 hours of sleep!,Eat vegetables,Exercise daily,Sleep early!
firstaid,First Aid,🏥,Basic first aid skills,First aid can save lives!,Stay calm,Get help,Apply basic care!
handwash,Hand Washing,🧼,Proper hand washing,Washing hands prevents illness!,Wet your hands,Scrub with soap,Rinse and dry!
xray,X-Ray Learning,🩻,Learn about X-rays,X-rays can see inside your body!,Position patient,Take the image,Examine bones!
ambulance,Ambulance Helper,🚑,Help in emergencies,Ambulances have been around since 1487!,Call for help,Stay with patient,Guide to hospital!
